file_name,category,ground_truth,ocr_tesseract,similarity,normalized_ocr_tesseract,similarity02,char_accuracy02,char_accuracy,word_accuracy,word_accuracy02,cer02,wer02,cer,wer
0001.jpg,noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,"ÄCHCAFE—&
aHTSFELER

DIENSTAG 21.12.
OLOF-PALME ZENTRUM —
19 UHR

WIR FREUEN UNS AUF EUCH!",0.0,ÄCHCAFE—& aHTSFELER DIENSTAG 21.12. OLOF-PALME ZENTRUM — 19 UHR WIR FREUEN UNS AUF EUCH!,0.0,0.8387096774193549,0.7849462365591398,0.3076923076923077,0.3076923076923077,0.16129032258064516,0.23076923076923078,0.21505376344086022,0.38461538461538464
0002.jpg,noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr","#SOLIDARITÄT MIT ALLEN!

BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?

Dresden, Großer Garten, 8.8. um 16 Uhr

CT",0.0,"#SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr CT",0.0,0.5852272727272727,0.5568181818181819,0.0,0.0,0.4147727272727273,0.4,0.4431818181818182,0.4
0003.jpg,noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und

antifaschistische Demonstration

)) Mahnmal Levetzowstraße, Berlin-Moabit
9. November

18:00 Uhr

& [Sj
WWIEDER GEBGHEHEN.

|

85 Jahre nach den Novemberpogromen;
Solidarität mit den Opfern des
Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,"Gedenkkundgebung und antifaschistische Demonstration )) Mahnmal Levetzowstraße, Berlin-Moabit 9. November 18:00 Uhr & [Sj WWIEDER GEBGHEHEN. | 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,0.5201238390092879,0.4860681114551083,0.0,0.0,0.47987616099071206,0.5263157894736842,0.5139318885448917,0.6052631578947368
0004.jpg,noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","Ö

A JEDEIR IST o-LS%WILLKQMMENLÄ

S",0.0,Ö A JEDEIR IST o-LS%WILLKQMMENLÄ S,0.0,0.1518987341772152,0.1455696202531645,0.0,0.0,0.8481012658227848,0.9545454545454546,0.8544303797468354,0.9545454545454546
0006.jpg,noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,"Aul
DEMO GEGEN GENTRIFIZIERUNG
Na 2022 / 15:00 UHR",0.0,Aul DEMO GEGEN GENTRIFIZIERUNG Na 2022 / 15:00 UHR,0.0,0.3382352941176471,0.3235294117647058,0.0,0.0,0.6617647058823529,0.6956521739130435,0.6764705882352942,0.782608695652174
0007.jpg,noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0009.jpg,noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",>|\g|_ASÜI:'GEI5!REM,0.0,>|\g|_ASÜI:'GEI5!REM,0.0,0.0222222222222222,0.0222222222222222,0.0,0.0,0.9777777777777777,1.0,0.9777777777777777,1.0
0010.jpg,noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,"GRU#@ESETZ
MEDITARION
02.05/2020 15:30 UHR
REWELBLIESKÄASTEL",0.0,GRU#@ESETZ MEDITARION 02.05/2020 15:30 UHR REWELBLIESKÄASTEL,0.0,0.8833333333333333,0.8333333333333334,0.2857142857142857,0.2857142857142857,0.11666666666666667,0.7142857142857143,0.16666666666666666,0.8571428571428571
0011.jpg,noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,"Z Am II |anuar 2025 al

\A 5E S 5
C „55*_«‚w nach Riesa ; f jg% A

(""‚l ?'?;v„„-",0.0,"Z Am II |anuar 2025 al \A 5E S 5 C „55*_«‚w nach Riesa ; f jg% A (""‚l ?'?;v„„-",0.0,0.2380952380952381,0.2301587301587301,0.0,0.0,0.7619047619047619,1.1111111111111112,0.7698412698412699,1.0555555555555556
0012.jpg,noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!","@@äﬁ OKRATISCHER

www.nichtohneuns.de
!_ in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern.

Saturday, the 29.8.2020

Berlin invites Europe .",0.0,"@@äﬁ OKRATISCHER www.nichtohneuns.de !_ in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. Saturday, the 29.8.2020 Berlin invites Europe .",0.0,0.4741935483870968,0.4580645161290322,0.0454545454545454,0.0454545454545454,0.5258064516129032,0.5909090909090909,0.5419354838709678,0.6136363636363636
0013.jpg,noisy,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19. FEB – 14 UHR ERINNERN HEISST KÄMPFEN! 3 JAHRE NACH HANAU Ferhat Unvar · Gökhan Gültekin · Vili-Viorel Păun · Sedat Gürbüz · Mercedes Kierpacz · Kaloyan Velkov · Said Nesar Hashemi · Fatih Saraçoğlu · Hamza Kenan Kurtović WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!,"BERLIN oer: oranıeNPLATZ

19.FEB - 14 UHR

ERINNERN HEISST KÄMPFEN!

WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN!
RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFEN!

E A

WE B l T mi ] ®",0.0,BERLIN oer: oranıeNPLATZ 19.FEB - 14 UHR ERINNERN HEISST KÄMPFEN! WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFEN! E A WE B l T mi ] ®,0.0,0.3825136612021858,0.3633879781420764,0.0178571428571428,0.0178571428571428,0.6174863387978142,0.8571428571428571,0.6366120218579235,0.8928571428571429
0014.jpg,noisy,HACK SEXISM Broschüren-Release 5. Juli 2023 ://about blank 18:30 Einlass // 19 Uhr Start Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co MBI NYP,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0015.jpg,noisy,"FR., 28. JUNI RAVE DEMO BASS GEGEN HASS 19 UHR, ESSEN HBF","[FR., 28. JUNI [

—19 UHR,
SSSEN He:s",0.0,"[FR., 28. JUNI [ —19 UHR, SSSEN He:s",0.0,0.4736842105263158,0.4385964912280702,0.1666666666666666,0.1666666666666666,0.5263157894736842,0.75,0.5614035087719298,0.8333333333333334
0016.jpg,noisy,WORKSHOP Do it Yourself Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? Samstag 16.11.2024 *11 bis 13 Uhr Jetzt Anmelden! PS: Alte/eigene Geräte können zum erforschen mitgebracht werden!,"Bau dein eigenen PC und Smartphone

Wo?
? Mittelpunktbibliothek Treptow
PS: Alte/eigene Geräte können
Wann? ;
zum erforschen mitgebracht
O samstag 16.11.2024

. werden!
*11 bis 13 Uhr",0.0,Bau dein eigenen PC und Smartphone Wo? ? Mittelpunktbibliothek Treptow PS: Alte/eigene Geräte können Wann? ; zum erforschen mitgebracht O samstag 16.11.2024 . werden! *11 bis 13 Uhr,0.0,0.3990610328638497,0.3802816901408451,0.0,0.0,0.6009389671361502,0.7666666666666667,0.6197183098591549,0.7666666666666667
0017.jpg,noisy,"76 Jahre Befreiung vom Faschismus Erinnern heißt KÄMPFEN! Sa, 08.05.2021 Gedenken 10:00–18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungspunkt 14:30 Uhr Bahnsteig S-Pankow","78 Ian

— Befreiung vom Fasch]H'nus
TE ‚x heifst
ER

Sa, 08.05.2021
Gedenken 10:00-18:00 Uhr
Sowjetisches Ehrenmahl Buch
Kundgebung 15:00 Uhr

Vortreffungpunkt 14:30 Uhr
Bahnsteig S-Pankow L",0.0,"78 Ian — Befreiung vom Fasch]H'nus TE ‚x heifst ER Sa, 08.05.2021 Gedenken 10:00-18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungpunkt 14:30 Uhr Bahnsteig S-Pankow L",0.0,0.844559585492228,0.7927461139896373,0.0,0.0,0.15544041450777202,0.4583333333333333,0.20725388601036268,0.75
0018.jpeg,noisy,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Ärzte sprechen Klartext! 29. JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEL FREIE BÜRGER KASSEL FÜR FRIEDEN & FREIHEIT,"A-  nlmpfpfhcht'
Arzte sprechen Klartext'
€ 4 29 JANÜA,R 2[pzz "";—‘f;‚_'x?_j

70 U HR K
. kONIGSPLNTZ KASSEL

‘$

\",0.0,"A- nlmpfpfhcht' Arzte sprechen Klartext' € 4 29 JANÜA,R 2[pzz "";—‘f;‚_'x?_j 70 U HR K . kONIGSPLNTZ KASSEL ‘$ \",0.0,0.3173652694610778,0.2994011976047904,0.04,0.04,0.6826347305389222,0.96,0.7005988023952096,0.96
0019.jpg,noisy,antifaschistische RALLY START BRENNER-BERG ZWISCHEN 12 UND 16 UHR 15.5. 16.5.,"i
antirfaschistisch c

RALLY ”

Zukun",0.0,i antirfaschistisch c RALLY ” Zukun,0.0,0.2727272727272727,0.2337662337662337,0.0,0.0,0.7272727272727273,1.0,0.7662337662337663,1.0
0020.jpg,noisy,DEMONSTRATION SONNTAG 06.09.2020 SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT! WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG. TOLLE REDNER MODERATOR (NANA LIFESTYLER) GUNNAR KAISER U.V.M. IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND) ADRIANBOOKING2019@GMAIL.COM,"DEMONSTRATION

SONNTAG 0F@19.2020;

1, S M
SCHÜLER/-IN GEN
DIE MASKENPFLICHT!._ _
WANN: 15:30 UHR
WO: MEISTERSINGERHALLE

NÜRNBERG
S
TULLEHEDNER N “““Y9*

MODERATOR
(NANA LIFESTYLER)
IMPRESSUM:SCHÜLER/-INNEN/GEGEN]DIE MASKENPFLICHT, [nzurscnuun]
an / |fall;\ﬂlL""ül«?'L",0.0,"DEMONSTRATION SONNTAG 0F@19.2020; 1, S M SCHÜLER/-IN GEN DIE MASKENPFLICHT!._ _ WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG S TULLEHEDNER N “““Y9* MODERATOR (NANA LIFESTYLER) IMPRESSUM:SCHÜLER/-INNEN/GEGEN]DIE MASKENPFLICHT, [nzurscnuun] an / |fall;\ﬂlL""ül«?'L",0.0,0.6436363636363636,0.6,0.0714285714285714,0.0714285714285714,0.3563636363636364,0.8214285714285714,0.4,0.8928571428571429
0022.jpg,noisy,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN","AKTION RESISTENZ FRUSTRATION
GEMEINSAMKEIT WIDERSTAND HOFFNUNG
AUFSCHREI BESTÄRKUNG NETZWERK

ISOLATION RESILIENZ SOLIDARITÄT
TRAUER FLUCHT AUSBEUTUNG NEUANFANG

JAHR

TALIBAN
REG

DEMO: SAMSTAG, 13.08.2022
14.00 UHR, AUSWARTIGES AMT
PROTEST CAMP BERLIN
13.08.2022 — 15.08.2022

WORKSHOPS PERFORMANCES REDEBEITRÄGE

#DONTFORGETAFGHANISTAN",0.0,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG JAHR TALIBAN REG DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWARTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN",0.0,0.9821958456973294,0.9317507418397626,0.4324324324324324,0.4324324324324324,0.017804154302670624,0.08108108108108109,0.06824925816023739,0.43243243243243246
0023.jpg,noisy,09. Mai 15.30 Uhr Biberach Gigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar.... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt... WICHTIG bitte Mindestabstand einhalten sonst könnte die Veranstaltung aufgelöst werden,"15.30 Uhr Biberach Gigelberg \
angemeldete DEMO __
Wahrung der Grundrechte *—
freie Impfentscheidung

Ar
nn © / WICHTIG
indestabstand einhalten

PIC-COLLAGE",0.0,15.30 Uhr Biberach Gigelberg \ angemeldete DEMO __ Wahrung der Grundrechte *— freie Impfentscheidung Ar nn © / WICHTIG indestabstand einhalten PIC-COLLAGE,0.0,0.3787878787878788,0.3666666666666667,0.0697674418604651,0.0697674418604651,0.6212121212121212,0.7674418604651163,0.6333333333333333,0.7906976744186046
0024.jpg,noisy,"ONE BILLION RISING HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14. Februar, 16 Uhr Marktplatz Macht mit! Tanzt mit! 2017 ONE BILLION RISING HANAU onebillionrising.org onebillionrising.de Schirmherr: Claus Kaminsky Oberbürgermeister Eine weltweite Aktion gegen Gewalt an Frauen","UNE DILLIUN NISJINUG

HANAU

Weltweit tanzen an diesem Tag Menschen
gegen Gewalt an Frauen

14.Februar, 16 Uhr
Marktplatz 3n

® F
weltweite
® . Aktion

ONE BILLION RISING gegen Gewalt
Schirmherr: Claus Kamin . . an Frauen",0.0,"UNE DILLIUN NISJINUG HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14.Februar, 16 Uhr Marktplatz 3n ® F weltweite ® . Aktion ONE BILLION RISING gegen Gewalt Schirmherr: Claus Kamin . . an Frauen",0.0,0.5766666666666667,0.54,0.3170731707317073,0.3170731707317073,0.42333333333333334,0.5365853658536586,0.46,0.6097560975609756
0025.jpg,noisy,Noch drei Wochen bis zu den Landtagswahlen. IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! +++ SA 17.08. 13:30 Uhr Hauptbahnhof +++ SACHSEN UNTERSTÜTZEN. STOPPT DIE AfD,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0026.jpg,noisy,Kultur & Strasse FESTIVAL About Blank Berlin 21. Juli 2024 13:00 – 22:00 Uhr EINTRITT FREI!,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0027.jpg,noisy,"A100 WEGBASSEN! FAHRRADDEMO gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz 2.9. um 14 Uhr Invalidenpark",,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0028.jpg,noisy,"CORONA IST NICHT DAS PROBLEM nichtohneuns_Dresden ET Video & Content KUNDGEBUNG EINE WIRTSCHAFTSKRISE? Dresden, Neumarkt, 20.6. um 16.30 Uhr","tJlmeims Dresd L

KUNDGEBUNG",0.0,tJlmeims Dresd L KUNDGEBUNG,0.0,0.1428571428571429,0.1357142857142856,0.0,0.0,0.8571428571428571,0.9473684210526315,0.8642857142857143,0.9473684210526315
0029.jpg,noisy,"Zukunft am Ostkreuz, Laskerstraße 5, 10245 Berlin Keine Zukunft fürs Ostkreuz Gegen die Kündigung der Zukunft am Ostkreuz zum 31.03.22 Ohne Zukunft am Ostkreuz 13.11. Kiezdemo und Kundgebung 13 Uhr Rudolfplatz 3.12. Aktionstag Zukunft Für Erhalt und langfristige Sicherung von kulturellen Zwischenräumen – fürs Ostkreuz und ganz Berlin.","luuunh am

— Keiuie
Zukunfrt

fürs Ostkreuz

DE die

K fgung der
Eunft am
DStkreuz zum
81.03.22

am Ostkreuz

13.11. Kiezdemo und.Kundgebung
13 Uhr Rudolfplatz‘
SAg Zukung

D ige Sicherung f
S henräumen -
A anz Berlin.",0.0,luuunh am — Keiuie Zukunfrt fürs Ostkreuz DE die K fgung der Eunft am DStkreuz zum 81.03.22 am Ostkreuz 13.11. Kiezdemo und.Kundgebung 13 Uhr Rudolfplatz‘ SAg Zukung D ige Sicherung f S henräumen - A anz Berlin.,0.0,0.5505952380952381,0.5,0.0208333333333333,0.0208333333333333,0.4494047619047619,0.7083333333333334,0.5,0.7708333333333334
0030.jpg,noisy,"SCHLUSS MIT CORONA! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG GENUG MIT DER ANGST! Dresden, Neumarkt, 13.6. um 16.30 Uhr","Dresden, Neumarkt‚ 13 6 um 16. 30 Uhr‘",0.0,"Dresden, Neumarkt‚ 13 6 um 16. 30 Uhr‘",0.0,0.2480620155038759,0.2480620155038759,0.0,0.0,0.751937984496124,1.0,0.751937984496124,1.0
0031.jpg,noisy,TECHNOPUNK GEGEN UNHALTBARE ZUSTÄNDE 14.10.2021 DEMO 18 UHR HERMANNPLATZ FAHRRAD-DEMO 20 UHR SCHILLINGBRÜCKE #køpibleibt,"TECHNOPUNK GEGENE. 4

UNHA!TRARE ZUSTÄNDE”
20 UHR SCHILLNGBRÜCKE.

#Kepibleibt",0.0,TECHNOPUNK GEGENE. 4 UNHA!TRARE ZUSTÄNDE” 20 UHR SCHILLNGBRÜCKE. #Kepibleibt,0.0,0.5083333333333333,0.475,0.0714285714285714,0.0714285714285714,0.49166666666666664,0.7857142857142857,0.525,0.8571428571428571
0032.jpg,noisy,"WORKSHOP EINFÜHRUNG DADAISMUS Von der Uhr zur Kunst 16.01. & 18.01.2025 // 15 - 18:00 Uhr Mit Daniel Carrion Teilnahme: 10,- EUR NOCHMALL.DE/EVENTS/ Powered by BSR","EINFÜHRUNG

DAIAISMUS",0.0,EINFÜHRUNG DAIAISMUS,0.0,0.1165644171779141,0.1042944785276073,0.0,0.0,0.8834355828220859,0.9615384615384616,0.8957055214723927,0.9615384615384616
0035.jpg,fancy,FÜRSTENFELDER Salvator Neue Zähne beißen gut: Krügelredner Stefan KRÖLL! Das Starkbierfest 17.02.2024 - 20.00 Uhr,"— FÜRSTENFELDER —
@ß

”e„e Z..
5 0/)„
w helBen Ut:
rll_qe/,ed„e A

r
KRÖLL ‚S' Jan

„ _ Das Starkbierfest
17.02.2024 - 20.00 Uhr

\",0.0,"— FÜRSTENFELDER — @ß ”e„e Z.. 5 0/)„ w helBen Ut: rll_qe/,ed„e A r KRÖLL ‚S' Jan „ _ Das Starkbierfest 17.02.2024 - 20.00 Uhr \",0.0,0.504424778761062,0.4513274336283186,0.0,0.0,0.49557522123893805,1.2666666666666666,0.5486725663716814,1.0666666666666667
0036.jpg,fancy,Limited Booze Boys FREITAG ab 19:00 Party + Live Band 21. STOCK CAR RENNEN HARTHA RENNSTRECKE HEEGWEG Betreutes Trinken LETZTES WE IM OKTOBER VERDÄCHTIG GUTE EVENTS 03 431 - 611 367,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0037.jpeg,fancy,FREE ALL ANTIFAS! FREIHEIT FÜR NANUK! KEINE AUSLIEFERUNG VON ANTIFAS NACH UNGARN! 18. MÄRZ 19 UHR | U-BHF TURMSTR | DEMO FREENANUK.NOBLOGS.ORG | BASG.NEWS,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0039.jpeg,fancy,VOM STAAT VERKNACKT UND TROTZDEM DA FREE ALL ANTIFA #FREE NANUK TAG DER POLITISCHEN GEFANGENEN DEMO BERLIN 18.03.25 | 19⁰⁰ U-BHF. TURMSTR.,"A
7F HA
1.&n [ '-I„

(

n.u.H.. Ää'.

A

H!!

- _.r.„_m.

-l.l— x\ n S

H\‘nh\ Y— — p |..u Y
a ß
LL A

""it

wu.lﬂl Ä:

LL
-“

DEMO R

* TAG DER *
POLITISCHEN
GEFANGENEN

——

s",0.0,"A 7F HA 1.&n [ '-I„ ( n.u.H.. Ää'. A H!! - _.r.„_m. -l.l— x\ n S H\‘nh\ Y— — p |..u Y a ß LL A ""it wu.lﬂl Ä: LL -“ DEMO R * TAG DER * POLITISCHEN GEFANGENEN —— s",0.0,-0.0217391304347827,-0.1376811594202898,0.0,0.0,1.0217391304347827,1.8636363636363635,1.1376811594202898,1.5454545454545454
0040.jpeg,fancy,"SOLI-FESTIVAL 1. März 2025, 12 - 0 Uhr UNSERE STIMMEN SOLL MAN HÖREN! Mühlstrasse 14 e.V. Soziokulturelles Stadtteilzentrum Leipzig AMNESTY INTERNATIONAL","SOLI-FESTIVAL

1. März 2025‚

UNSERE
SOLL MAN
HÖREN/

r
{ %
W A

e",0.0,SOLI-FESTIVAL 1. März 2025‚ UNSERE SOLL MAN HÖREN/ r { % W A e,0.0,0.3660130718954248,0.3071895424836601,0.1428571428571428,0.1428571428571428,0.6339869281045751,0.7142857142857143,0.6928104575163399,0.8571428571428571
0041.jpg,fancy,"50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist, taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin","50 JAHRE RUMDLE IN THE JUNGLE
— ] Podium:

| Martin Krauß

{Sportjoumalist, taz)

| Dr. Michela Wrong

| _ (eritische Journalistin)
Fabian Kunow

(Moderation)

Film: When we were Kings (1997)

Mo., 25. Nov., 19 Uhr
://about blank
Markgrafendamm 24c, 10245 Berlin",0.0,"50 JAHRE RUMDLE IN THE JUNGLE — ] Podium: | Martin Krauß {Sportjoumalist, taz) | Dr. Michela Wrong | _ (eritische Journalistin) Fabian Kunow (Moderation) Film: When we were Kings (1997) Mo., 25. Nov., 19 Uhr ://about blank Markgrafendamm 24c, 10245 Berlin",0.0,0.930327868852459,0.8729508196721312,0.1388888888888889,0.1388888888888889,0.06967213114754098,0.25,0.12704918032786885,0.3888888888888889
0043.jpg,fancy,STABIL BLEIBEN UND MASSENHAFT WIDERSETZEN! LIVE DABEI: ★ ZSK ★ UND WEITERE ACTS! • 11. JANUAR 2025 • ALLE NACH RIESA • KUNDGEBUNG GEGEN AFD-PARTEITAG!,"STABIL
3LEIBEN

MARSSENHAFT WIDERSETZEN!

UuND

“ UND WEITERE ACTS!

O al — _

- 11. JANUAR 2025 ° ALLE NACH RIESA °",0.0,STABIL 3LEIBEN MARSSENHAFT WIDERSETZEN! UuND “ UND WEITERE ACTS! O al — _ - 11. JANUAR 2025 ° ALLE NACH RIESA °,0.0,0.5533333333333333,0.5133333333333333,0.28,0.28,0.44666666666666666,0.72,0.4866666666666667,0.76
